PBN	Read	Write	Erase
615	873	56	0
616	530	33	0
617	335	41	0
618	1155	68	1
619	696	53	1
620	179	25	0
621	857	83	2
622	629	55	1
623	479	45	0
624	629	54	1
625	1227	75	1
626	575	31	1
627	907	72	2
628	629	66	1
629	119	5	0
630	629	62	1
631	882	72	1
632	629	40	1
633	869	56	0
634	1053	59	1
635	1099	79	1
636	530	33	0
637	1274	84	1
638	1155	68	1
639	1569	99	2
