PBN	Read	Write	Erase
338	3144	1370	27
339	3126	1421	26
340	3153	1449	26
341	3256	1482	27
342	3126	1384	27
343	149	84	1
344	2986	1272	27
345	3143	1369	27
346	2502	1129	21
347	1424	669	12
348	1330	609	11
349	3128	1354	27
350	2969	1319	27
351	1201	545	10
352	3179	1403	27
353	2360	1045	20
354	863	405	7
355	624	297	5
356	1155	532	10
357	2995	1318	27
358	3107	1334	27
359	3018	1310	26
360	3127	1351	27
361	3149	1374	27
362	1569	716	13
363	3063	1360	26
364	1417	662	12
365	3162	1385	27
366	3146	1431	27
367	3200	1423	27
368	3247	1471	27
369	414	218	3
370	3047	1375	26
371	3234	1455	27
372	3271	1494	27
373	2205	1019	18
374	3212	1465	27
375	3268	1489	27
376	3201	1454	27
377	3234	1488	27
378	2109	990	17
379	500	238	4
380	3026	1350	26
381	1903	854	16
382	3173	1469	26
383	977	452	8
384	2237	1018	19
385	3182	1435	27
386	3238	1459	27
387	859	400	7
388	1353	631	11
389	3081	1336	27
390	2497	1146	21
391	1685	764	14
392	3105	1361	27
393	3176	1399	27
394	3107	1363	27
395	3186	1445	27
396	3049	1375	26
397	3133	1358	27
398	3133	1462	26
399	378	182	3
400	3105	1430	26
401	3195	1420	27
402	1915	862	16
403	1597	742	13
404	3169	1458	27
405	1452	663	12
406	3165	1421	27
407	2400	1083	20
408	3038	1359	26
409	164	98	1
410	32	32	0
411	3111	1432	27
412	3180	1403	27
413	3202	1425	27
414	500	238	4
415	371	174	3
416	3217	1441	27
417	3238	1462	27
418	3256	1479	27
419	3259	1483	27
420	2783	1239	24
421	1065	505	9
422	971	445	8
423	3122	1410	27
424	608	279	5
425	3262	1486	27
426	2180	994	18
427	3228	1484	27
428	3170	1426	27
429	3201	1457	27
430	2081	961	17
431	1335	611	11
432	3073	1361	27
433	1297	606	11
434	3139	1396	27
435	868	408	7
436	3182	1438	27
437	1206	548	10
438	3181	1437	27
439	2258	1006	19
440	1669	747	14
441	1750	794	15
442	3253	1476	27
443	32	32	0
444	101	67	1
445	3090	1346	27
446	3171	1395	27
447	3194	1417	27
448	724	329	6
449	2492	1107	21
450	490	227	4
451	3113	1368	27
452	1186	527	10
453	1502	676	13
454	1833	809	16
455	255	123	2
456	3085	1343	27
457	3203	1428	27
458	3223	1448	27
459	3216	1441	27
460	986	459	8
461	3087	1375	26
462	3061	1382	26
463	1074	513	9
464	3069	1359	27
465	630	300	5
466	2377	1093	20
467	3186	1414	27
468	3050	1371	26
469	3199	1494	26
470	3203	1430	27
471	3256	1483	27
472	3146	1407	27
473	3202	1428	27
474	3278	1506	27
475	1086	495	9
476	32	32	0
477	3003	1294	27
478	733	340	6
479	3065	1391	26
480	3175	1401	27
481	3239	1499	27
482	3056	1348	27
483	1695	775	14
484	3304	1533	27
485	141	75	1
486	534	272	4
487	2302	1086	19
488	3228	1487	27
489	276	145	2
490	3166	1427	27
491	3184	1411	27
492	1800	814	15
493	3208	1467	27
494	2050	932	17
495	3243	1505	27
496	3129	1424	26
497	637	309	5
498	1590	735	13
499	3061	1354	26
500	2580	1202	21
501	1000	476	8
502	3157	1418	27
503	2453	1141	20
504	3192	1419	27
505	3202	1431	27
506	3239	1466	27
507	3208	1436	27
508	3106	1398	26
509	32	32	0
510	3074	1366	27
511	3056	1381	26
512	885	426	7
513	521	259	4
514	3213	1472	27
515	3212	1435	27
516	481	219	4
517	3183	1409	27
518	1684	764	14
519	3216	1445	27
520	3030	1356	26
521	3135	1393	27
522	1431	675	12
523	271	140	2
524	3157	1385	27
525	1647	727	14
526	3128	1423	26
527	3205	1431	27
528	3214	1439	27
529	3194	1422	27
530	3063	1387	26
531	3106	1364	27
532	3277	1505	27
533	3215	1474	27
534	3215	1439	27
535	1871	884	15
536	3113	1404	26
537	3058	1349	26
538	292	161	2
539	3030	1353	26
540	943	417	8
541	3034	1359	26
542	32	32	0
543	1492	669	13
544	1034	441	9
545	2674	1191	23
546	2953	1246	26
547	3130	1383	27
548	2499	1117	21
549	3132	1388	27
550	840	379	7
551	3127	1383	27
552	2470	1122	21
553	2991	1384	25
554	3129	1352	27
555	3195	1418	27
556	3194	1456	27
557	2482	1172	20
558	3218	1448	27
559	3109	1428	27
560	1325	603	11
561	2428	1111	20
562	2668	1223	22
563	3078	1332	27
564	3186	1409	27
565	1466	678	12
566	3081	1400	27
567	3086	1375	27
568	872	412	7
569	2960	1252	26
570	3015	1306	26
571	2940	1362	24
572	2631	1254	21
573	774	380	6
574	3061	1359	26
575	32	32	0
576	3092	1380	27
577	3177	1401	27
578	3119	1408	27
579	972	446	8
580	3156	1448	27
581	1562	710	13
