PBN	Read	Write	Erase
570	2323	1005	20
571	163	98	1
572	2277	991	20
573	2327	1009	20
574	2322	1003	20
575	2363	1045	20
576	2381	1063	20
577	2399	1081	20
578	2417	1099	20
579	2435	1117	20
580	1693	772	14
581	2398	1112	20
582	1351	626	11
583	2394	1108	20
584	2444	1126	20
585	2462	1144	20
586	2480	1162	20
587	1635	778	13
588	1042	515	8
589	532	233	5
590	138	71	1
591	2361	1041	20
592	2310	1022	20
593	341	174	3
594	34	33	0
595	2384	1064	20
596	2333	1045	20
597	984	455	8
598	2338	1050	20
599	747	350	6
600	2345	1057	20
601	1279	616	11
602	281	148	2
603	536	271	4
604	2437	1117	20
605	2386	1098	20
606	1268	607	10
607	2421	1101	20
608	2380	1059	20
609	2352	1064	20
610	2165	957	18
611	2359	1039	20
612	2340	1020	20
613	2321	1001	20
614	2270	982	20
615	1653	728	14
616	2269	981	20
617	1975	852	17
618	34	33	0
619	2301	982	20
620	34	33	0
621	2265	946	20
622	2215	928	20
623	779	349	7
624	165	99	1
625	2287	968	20
626	2269	950	20
627	2155	932	20
628	580	282	5
629	400	202	3
630	1804	812	16
631	1105	511	9
632	1745	787	15
633	1440	648	12
634	2172	984	18
635	2354	1067	20
636	286	154	2
637	2303	1080	20
638	734	370	6
639	537	273	4
