PSN	Read	Write	Erase
398	63	27	17
399	60	25	17
400	59	24	17
401	58	23	17
402	57	22	17
403	55	21	17
404	55	21	17
405	56	21	17
406	55	20	17
407	54	19	17
408	52	18	17
409	52	18	17
410	52	18	17
411	52	18	17
412	52	18	17
413	52	18	17
414	52	18	17
415	52	18	17
416	147	84	21
417	83	41	21
418	82	40	21
419	80	39	21
420	80	39	21
421	80	39	21
422	82	39	21
423	78	37	21
424	81	37	21
425	75	34	21
426	75	34	21
427	75	34	21
428	76	34	21
429	75	33	21
430	73	32	21
431	75	32	21
432	72	30	21
433	71	29	21
434	70	28	21
435	69	27	21
436	67	26	21
437	67	26	21
438	68	26	21
439	68	25	21
440	65	23	21
441	63	22	21
442	63	22	21
443	63	22	21
444	63	22	21
445	63	22	21
446	63	22	21
447	63	22	21
448	147	84	21
449	85	42	21
450	84	41	21
451	83	40	21
452	81	39	21
453	81	39	21
454	81	39	21
455	83	39	21
456	79	37	21
457	82	37	21
458	76	34	21
459	76	34	21
460	76	34	21
461	77	34	21
462	76	33	21
463	74	32	21
464	76	32	21
465	73	30	21
466	72	29	21
467	71	28	21
468	70	27	21
469	68	26	21
470	68	26	21
471	69	26	21
472	69	25	21
473	66	23	21
474	64	22	21
475	64	22	21
476	64	22	21
477	64	22	21
478	64	22	21
479	64	22	21
480	147	84	21
481	84	42	21
482	85	42	21
483	84	41	21
484	83	40	21
485	81	39	21
486	81	39	21
487	81	39	21
488	83	39	21
489	79	37	21
490	82	37	21
491	76	34	21
492	76	34	21
493	76	34	21
494	77	34	21
495	76	33	21
496	74	32	21
497	76	32	21
498	73	30	21
499	72	29	21
500	71	28	21
501	70	27	21
502	68	26	21
503	68	26	21
504	69	26	21
505	69	25	21
506	66	23	21
507	64	22	21
508	64	22	21
509	64	22	21
510	64	22	21
511	64	22	21
512	147	84	21
513	84	42	21
514	84	42	21
515	85	42	21
516	84	41	21
517	83	40	21
518	81	39	21
519	81	39	21
520	81	39	21
521	83	39	21
522	79	37	21
